max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p50,latency_p95,latency_p99,tokens_per_second_average,tokens_per_second_p50,tokens_per_second_p95,tokens_per_second_p99,time_to_first_token_average,time_to_first_token_p50,time_to_first_token_p95,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p50,time_per_output_token_p95,time_per_output_token_p99
6379,634,5,32,1.44,0.76,True,False,True,False,2.453710207939148,2.485271453857422,2.5394407749176025,2.559419491291046,20.401045089032788,20.118527351107712,19.68937460397444,19.53567993669144,0.3506506443023681,0.3918209075927734,0.4699954152107238,0.4789891266822814,0.0490742041587829,0.0497054290771484,0.050788815498352,0.0511883898258209
5703,1764,7,32,1.48,0.78,False,False,True,False,2.4729795694351195,2.472829222679138,2.5346606016159057,2.545409107208252,20.223045500203003,20.219754757431964,19.72650701824562,19.643207794546115,0.4023708415031433,0.3713730573654175,0.5457484602928162,0.5630085444450378,0.0494595913887024,0.0494565844535827,0.0506932120323181,0.050908182144165
4958,1373,5,32,0.87,0.92,False,False,True,False,2.5671468675136566,2.5724449157714844,2.6854575872421265,2.6978510308265684,19.38580634577503,19.41345169528661,18.60571904143273,18.46874331552285,0.4652696788311005,0.4826828241348266,0.5368655204772949,0.5604431986808777,0.0516341954803892,0.0515106749534606,0.0537469158172607,0.0541462303489446
8040,75,1,8,1.01,0.98,True,True,False,True,3.2254114747047424,3.232742547988892,3.2570852398872376,3.2594033074378967,15.503028193230898,15.46677511914596,15.351149386159364,15.340233173422662,1.009839141368866,1.0091731548309326,1.0154740452766418,1.0155568528175354,0.0645082294940948,0.0646548509597778,0.0651417047977447,0.0651880661487579
4380,1798,8,8,1.01,0.81,False,False,True,True,2.5437451684474945,2.5396445989608765,2.6103091835975647,2.6280177903175352,19.66113311401625,19.6877946380959,19.15481902187007,19.025746465604083,0.4661989426612854,0.4768024682998657,0.5468433618545532,0.5783990144729613,0.0508749033689498,0.0507928919792175,0.0522061836719512,0.0525603558063507
6994,1054,6,32,1.03,0.76,False,True,False,False,2.3520086658000947,2.3629159927368164,2.463066279888153,2.48876782655716,21.228680716639804,21.156796729004903,20.2378033026232,20.071681497128505,0.2695374488830566,0.2670838832855224,0.3761733293533317,0.4206361246109009,0.0471429541508356,0.0472661352157592,0.0494124970436096,0.0498214365005493
5052,1194,1,8,0.05,0.9,False,False,False,False,2.5466432797908785,2.538527250289917,2.6492223501205445,2.669536943435669,19.644685677772472,19.69645982830753,18.87346300023469,18.72984054669537,0.4607955634593964,0.4761750698089599,0.5572947025299072,0.5856854701042175,0.0509328655958175,0.0507705450057983,0.0529844470024108,0.0533907388687133
5275,1281,8,8,0.65,0.91,False,False,True,True,2.543957052230835,2.541008949279785,2.590039038658142,2.603807532787323,19.657176529173867,19.67722310243157,19.30472834736281,19.202648654731505,0.4644213652610778,0.4753775596618652,0.5266659617424011,0.5469125103950501,0.0508791410446167,0.0508201789855957,0.0518007807731628,0.0520761506557464
4789,1774,4,32,0.17,0.81,True,False,False,False,2.4230365455150604,2.454020380973816,2.516605865955353,2.5201695466041567,20.58246286315837,20.36543914095376,19.865954512424725,19.839433594055222,0.3582668268680573,0.3964153528213501,0.4701637983322143,0.5115661072731017,0.0486654806109035,0.0491028022766113,0.0503373749256134,0.0504046648979187
6615,1334,1,8,1.65,0.9,True,True,True,True,3.0517629981040955,3.0566803216934204,3.0799433469772337,3.0811997747421263,16.385034032894424,16.357630804748247,16.234065062595736,16.22744575857352,0.9279757857322692,0.8997609615325928,0.9946357488632204,0.9955406522750856,0.0610352599620819,0.0611336064338684,0.0615988669395446,0.0616239954948425
