max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p99,tokens_per_second_average,time_to_first_token_average,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p99
4834,640,7,32,0.12,0.9,False,True,True,True,2.6956703225771586,5.4927754306793215,18.75079445328762,0.4025097171465556,3.016702446937561,0.0566283949907098,0.1136587099189108
5534,840,5,8,0.11,0.84,False,False,False,False,2.7301352325527146,5.341593074798584,18.232338129742185,0.3662670617816091,2.864849305152894,0.0574762151733823,0.1164362357916097
7280,586,3,32,1.93,0.81,True,True,False,True,2.3282798767089843,2.4498932933807374,20.606702434260328,0.2513780951499939,0.267057523727417,0.0485319274874796,0.0494431806899405
6218,1726,6,8,0.91,0.81,False,True,False,False,3.1380842300978573,7.286742184162138,17.118617697939325,0.649112498218363,3.70310299873352,0.0666024813981924,0.15358971781423
6849,461,6,32,0.52,0.99,False,False,False,True,2.686749820411205,5.214307084083557,18.13859594520779,0.3314268231391907,2.993211658000946,0.0567573141547472,0.1051958912849426
6836,1958,2,16,1.44,0.9,False,False,True,True,3.10302114800403,5.713253319263458,16.684188883089888,0.7685697047333968,3.0698443055152893,0.0664775535430576,0.1267274243491036
6826,731,4,8,1.89,0.91,False,False,True,True,2.4285322403907776,2.678539397716522,19.514018112938537,0.1996337950229644,0.3651973867416381,0.0513746662206652,0.05710684757001
4721,1184,4,16,0.06,0.73,True,True,False,True,3.9982600344551935,4.968028750419617,12.280391473063016,2.12608085738288,2.9605446815490724,0.0876885529646983,0.118913348850451
6568,1756,3,16,0.87,0.99,False,False,False,True,2.362300351858139,2.725461151599884,19.719889166663453,0.1413531899452209,0.2275738477706909,0.0509664612531593,0.0562391714709145
4672,735,7,32,1.61,0.99,True,False,True,False,2.1070412373542786,2.6663510274887083,22.48181343050515,0.118294266462326,0.255283887386322,0.0447608756389085,0.0542388417039598
6082,603,6,16,0.58,0.86,False,False,False,True,2.408556921482086,2.7412497997283936,19.74990407103937,0.1511756217479705,0.2877019000053405,0.0507942245147202,0.0562024830281734
6894,1396,7,8,0.67,0.84,True,False,False,True,2.296842588186264,3.7079077696800233,21.2027582898854,0.2490328621864319,1.6657642102241517,0.0485407836227562,0.0804817735827473
4524,490,2,8,0.28,0.76,False,True,False,False,2.528030335903168,3.243878059387207,18.75871212366219,0.167738606929779,0.9460136032104492,0.0537150109003733,0.0680886607953267
7375,884,5,32,1.21,0.77,True,True,True,True,2.0597925980885825,2.2634063816070555,20.778826170300785,0.2350930902693006,0.2659689903259277,0.0481439443922419,0.0499128234747684
6616,861,7,32,0.95,0.93,False,True,True,False,2.3902352714538573,2.714026720523834,19.393415076011248,0.1333307659626007,0.2649816608428955,0.0517315686434679,0.0563330879211425
6105,1161,4,32,0.6,0.73,False,True,False,True,2.4272663199901583,2.7272011113166807,19.263954645265617,0.12805055975914,0.2614054656028747,0.0520279886488894,0.0560269064092781
4706,123,6,16,1.27,0.75,True,True,False,False,1.760123610496521,1.7783713412284852,21.01759271289549,0.2476511001586914,0.2496656322479248,0.0475920712390141,0.0483594360790754
4395,774,6,16,1.88,0.95,False,False,False,True,2.7576084124673272,5.5242007541656495,17.978127139143115,0.3844164941728729,3.02431382894516,0.0582421605398871,0.1163191066273422
7775,245,6,16,0.85,0.73,True,True,True,False,1.850657145182292,1.9070910167694093,20.34995707080436,0.241739273071289,0.2515875816345215,0.0491420280488289,0.0495594045153835
6690,1351,8,8,0.35,0.73,True,True,True,True,2.411352443695068,2.503817415237427,14.495552647619736,0.9166097164154052,0.9630362796783448,0.0690385137050257,0.0725348352704729
7154,722,3,16,1.87,1.0,True,True,False,True,2.290141594409943,2.364305410385132,21.23519715501813,0.2491539597511291,0.260033745765686,0.0470981683974854,0.0484283318555444
8016,914,1,8,0.35,0.93,False,True,True,True,2.514875960350037,3.2915236496925355,18.772976411699943,0.140599535703659,0.7856865763664245,0.0536978808924199,0.0666060995428185
7363,252,1,8,0.77,0.96,False,False,True,False,2.349476900100708,2.6380086159706115,20.367230797203487,0.1505839693546295,0.2577551817893981,0.0492746520173299,0.0537829525963119
8120,1415,4,8,0.87,0.92,False,True,False,False,2.2893664026260376,3.001882255077362,20.53614630181848,0.1978696620464325,0.97482351064682,0.0492775003377765,0.0650542270264974
5744,1032,6,8,1.81,0.94,True,False,False,True,2.119524298906326,3.025214011669159,22.26734894892216,0.1715777015686035,0.9551303577423096,0.0455219995842205,0.0684507801953483
6827,1048,3,8,0.23,0.93,False,False,True,False,2.3228843748569488,2.62837610244751,20.12860745383396,0.1303311502933502,0.2249798536300658,0.0498088568411567,0.054696081449115
5771,1175,2,16,1.55,0.87,False,True,False,True,2.4198219645023347,2.742364706993103,19.34793462790608,0.1712497735023498,0.2644943594932555,0.0518359649213991,0.0561124838025946
5067,108,4,16,0.03,0.7,True,False,False,True,2.0528225660324098,2.320291059017181,22.6688749075469,0.1117966890335083,0.2690776038169861,0.0441760493325585,0.0476390540599823
7973,1064,5,8,0.15,0.72,False,False,False,False,2.3479610204696657,2.6050017023086545,20.06269461655363,0.1303333079814911,0.2825376057624816,0.0500207356506032,0.0536879490461564
7602,165,6,16,0.12,0.79,True,False,True,True,1.9512698149681087,2.3299298763275145,23.64058093770432,0.1020909142494201,0.2490578889846801,0.0425396363740155,0.0487431112604756
5908,79,2,8,0.79,0.75,True,False,False,False,2.161952203512192,3.100522925853729,22.13423197244346,0.1852469539642334,0.9924464178085328,0.0458281851096019,0.0676027426003671
5063,501,5,8,1.63,0.71,False,False,False,True,2.451167933940888,2.8163880228996274,19.32082350700335,0.1786238777637481,0.3426144051551819,0.0518873832533984,0.0567202807514034
4925,735,3,32,1.28,0.94,True,True,True,True,2.2046568155288697,2.288117244243622,22.041512335133287,0.2191979646682739,0.2373538875579834,0.0453710703337995,0.0457974873483181
5008,1623,8,16,0.25,0.99,True,False,False,False,6.714325017929077,26.304192943573,18.46503114210388,0.7985015392303467,22.57022851943968,0.1428780925368108,0.6262002222412508
4333,992,4,32,0.35,0.99,False,False,False,True,5.963785196222911,56.91029265880585,17.10767642521478,1.621664013804459,54.531914877891545,0.1269491836099189,1.156909114386111
4194,1410,4,16,1.19,0.9,True,True,False,True,2.975261313574655,3.1930068349838256,15.052333035125152,0.9319040775299072,0.9867225694656372,0.0667028553888418,0.0741788199187465
4058,650,5,32,0.01,1.0,False,False,True,True,2.392127705812454,2.7333253979682923,19.813570279712287,0.1313090527057647,0.2501935935020445,0.0506972435319935,0.055863282716672
7909,1372,4,8,1.44,0.81,False,False,False,True,2.3735705530643463,2.665841007232666,19.772785425666164,0.1769385778903961,0.3456244754791259,0.0507269542928032,0.0555689279888127
7891,1317,3,8,0.94,0.77,True,False,False,False,2.0688950979709624,2.8523465514183046,22.904583574262148,0.1729687678813934,0.8265796375274658,0.0441270133149307,0.0629868957144873
6290,1670,4,32,1.87,0.83,True,False,True,True,7.384070906722755,57.71245441436768,18.83678388877103,1.5651023122999403,55.60654084682465,0.1597797159185353,1.4135026146289784
7061,657,2,32,0.77,0.73,False,False,True,True,3.7209625836894,13.328476333618164,18.28246598403374,0.9353645875309052,11.110074090957642,0.0803307576729454,0.4019229913199382
7757,699,3,16,0.72,0.82,False,True,True,False,2.419380432367325,2.842888889312744,19.415915813211555,0.1348533284664154,0.2674226546287536,0.051752681408804,0.0592690890630086
4382,529,4,16,1.58,0.74,False,True,True,True,2.3547046065330504,2.6428404760360715,19.81763631515023,0.1725236451625824,0.3511229181289673,0.0506131096111159,0.0560263631640491
6006,1768,6,32,0.72,0.82,True,False,False,True,2.03780375123024,2.3890128326416016,23.18966570358164,0.1069473719596862,0.3062351274490355,0.0432231395073085,0.0483758946096321
6405,351,4,32,1.13,0.84,False,False,True,False,2.3410418570041656,2.6676349115371703,19.97744900955457,0.1504734969139099,0.2691651177406311,0.0502451677602773,0.0548032512989911
5047,1841,3,16,1.95,0.77,True,False,False,False,2.3440516273180645,4.84859983444214,20.913260184295225,0.2805883487065633,2.7381170368194585,0.0493326697185611,0.1008861485520187
4183,214,2,8,1.75,0.82,False,True,False,True,5.2541835980537615,7.97938672542572,9.595724482984174,1.9830025892991283,4.017598109245297,0.1136648929127716,0.177167850272824
4622,1734,7,16,1.48,0.88,False,False,True,False,2.4866835188865664,2.863781816959381,18.8932116999171,0.1740260064601898,0.3126080203056335,0.0532217948371604,0.0592254937781601
7410,510,8,32,0.02,0.77,False,False,False,False,2.621441588136885,5.14977989435196,18.490936261875486,0.2655256946881612,2.8461537313461305,0.0557394629961264,0.1143233134552303
7158,512,2,16,1.1,0.91,True,True,True,True,2.5772910118103027,2.9320516109466555,13.235232534769656,1.0040995279947915,1.038094358444214,0.0765379199690205,0.088655249745131
