max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p99,tokens_per_second_average,time_to_first_token_average,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p99
5362,319,3,8,1.63,0.82,False,False,True,True,4.780091823339462,5.917714083194733,10.716608792952613,1.3026306927204132,2.0182355141639707,0.0959172785648061,0.1183542816638946
5380,1484,8,8,1.09,0.76,False,True,False,True,4.449790633916855,5.023407657146453,11.505743475643712,0.9973529696464538,1.5994760823249816,0.0893820481322473,0.1004773905277252
7870,1874,3,16,0.67,0.89,False,True,True,False,3.846215858459473,4.3509771299362185,13.359985912677962,0.6461222803592682,1.057784287929535,0.0773116034848349,0.0870318387985229
7706,64,2,16,1.77,0.76,True,False,True,False,4.832781193256378,8.143737244606019,10.917939705032929,1.679726275205612,4.625253934860229,0.0968587181670325,0.1628747448921203
7778,553,2,16,0.86,0.72,False,False,True,True,4.525877288579941,4.9883216547966,11.407919800885558,1.2223439383506776,1.5668882179260253,0.0905581692146218,0.0997909524440765
4140,1826,7,16,0.92,0.94,False,True,True,True,3.786885297298432,4.420433332920075,13.601867478652194,0.7883475065231323,1.6098998951911927,0.075843350353837,0.0884086666584014
6563,997,6,16,1.56,0.75,False,True,False,False,3.87155524611473,4.792767291069031,13.4517250741652,0.7614404726028442,1.740860242843628,0.0774734282233497,0.0958553458213806
5456,1439,8,8,1.56,0.78,False,False,True,False,4.550342689752579,5.160607018470764,11.319092302505078,1.188914439678192,1.879847786426544,0.091539905815966,0.1032164698123931
4941,903,1,32,0.01,0.78,False,False,False,True,4.536948523521423,5.065131497383118,11.364868248329437,1.160154265165329,1.556404972076416,0.0915200299603158,0.1044993751306566
4511,1878,7,32,0.58,0.98,True,False,True,True,4.449486569166184,4.888413057327271,11.57885569657237,1.0963282942771913,1.5657304525375366,0.089205709243432,0.0988515494358844
6942,1902,3,16,0.97,0.92,True,False,True,True,4.492007937431335,4.920027508735656,11.489717785899575,1.1889826595783233,1.59055184841156,0.0900452301502228,0.0984565881252288
5007,230,7,8,0.8,0.77,True,False,True,True,4.664754025936126,5.346205315589905,11.088187358047607,1.468499926328659,2.4090250277519227,0.0945069308016035,0.1083956175804133
5373,1806,8,8,0.3,0.87,True,False,False,True,4.8311623358726505,5.748787024021149,10.87107018703606,1.384209144115448,2.383337450027466,0.0974009198904037,0.1150182214736938
5187,95,6,16,1.05,0.83,False,True,False,False,3.861101931333542,4.5646357822418215,13.391643646359851,0.70098091006279,1.1837670302391052,0.0777155370487886,0.0913964445562923
8173,858,7,8,0.95,0.98,False,False,False,True,4.560470312833786,5.059499707221985,11.23285688226042,1.2685681307315826,1.6114949679374695,0.0921613433181323,0.106687495032763
6379,712,6,16,1.8,0.79,False,True,False,True,4.107928607463837,5.212903869152069,12.666938822433645,0.8839452302455902,2.185173301696777,0.0825951486477484,0.1042704241275787
4773,187,4,16,0.29,0.73,True,False,False,True,4.459558298587799,4.836663298606872,11.521981147261602,1.1335441637039183,1.5463742446899411,0.0891911659717559,0.0967332659721374
5353,1740,1,16,1.47,0.74,False,True,True,True,4.060172290802002,5.224283921718597,13.04082907995803,0.8251741600036621,1.911908893585205,0.0812109796708944,0.1044856784343719
4131,1214,5,16,0.44,0.71,True,True,True,True,4.828497490286827,4.8879051637649535,10.35584289722484,1.1887464225292206,1.5142805337905882,0.0965699498057365,0.097758103275299
