max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p99,tokens_per_second_average,time_to_first_token_average,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p99
5540,319,2,16,1.92,0.89,False,True,False,True,4.740583438873291,5.285679609775543,10.585388351329932,0.6517992401123047,1.233618223667145,0.0948116687774658,0.1057135921955108
7678,66,4,32,1.61,0.82,True,True,False,True,5.06007709980011,5.097102375030517,9.881700156868584,0.9464468002319336,0.9582163310050964,0.1012015419960022,0.1019420475006103
4129,758,2,8,0.31,0.96,False,True,True,True,4.882080379724503,5.244635057449341,10.27051965549602,0.6709101581573487,1.0415302729606628,0.0977443979905201,0.1048927011489868
5767,551,2,32,1.89,0.94,False,False,True,True,5.121743551492691,5.257906565666199,9.76457211048261,1.0463884127140046,1.2294287133216857,0.1024348710298538,0.1051581313133239
6652,1188,7,8,0.92,0.87,True,True,True,True,13.79572546005249,13.9735640668869,3.624368620125093,9.56940062046051,9.808848948478698,0.2759145092010497,0.279471281337738
6532,1920,6,16,0.7,0.97,True,True,True,True,5.173166098594666,5.2209836506843565,9.665878551356723,0.8843374300003052,1.0321537470817566,0.1034633219718933,0.1044196730136871
5980,1142,6,32,0.21,0.98,True,True,True,False,5.068544974327088,5.116373083591461,9.865224662742367,0.9031883573532103,0.9834286832809448,0.1013708994865417,0.1023274616718292
5022,460,6,8,0.52,0.96,True,False,False,False,5.19797464966774,5.693694410324096,9.64500938434082,1.113344488143921,1.619120955467224,0.1039594929933547,0.1138738882064819
7642,349,5,16,0.94,0.97,False,False,False,True,5.06630329489708,5.146757085323333,9.87086020439694,0.9682922792434692,1.1312063622474668,0.1013260658979415,0.1029351417064666
4720,1180,2,16,1.76,0.94,False,True,False,False,4.531155014038086,4.95789277791977,11.053586778342687,0.5287717747688293,0.9791139960289,0.0906231002807617,0.0991578555583953
6514,109,1,32,0.08,0.99,True,False,True,False,4.873274908065796,5.009836421012879,10.265755301942871,0.7886091876029968,0.9674438071250916,0.097465498161316,0.1001967284202575
7019,851,6,16,1.08,0.86,False,True,True,False,4.678399593830108,5.111949315071106,10.717695324143996,0.5443407392501831,0.8986420869827271,0.0935679918766022,0.1022389863014221
7291,430,3,8,1.48,0.91,False,True,False,True,4.949075082540512,5.5838241338729855,10.168718080274068,0.8148144972324372,1.448652572631836,0.0989815016508102,0.1116764826774597
8054,1023,8,16,1.61,0.99,True,False,True,False,4.975121821165085,5.105402324199677,10.053898193910928,0.9056771922111512,1.1318822979927063,0.0995024364233016,0.1021080464839935
7695,769,2,8,1.42,0.88,True,True,True,True,5.659260668754578,5.71248610496521,8.83569898215215,1.42858097076416,1.563993079662323,0.1131852133750915,0.1142497220993042
8023,140,4,8,0.64,0.93,False,False,True,False,4.944738050699234,5.166709089279174,10.153340365678464,0.987644852399826,1.168045091629028,0.0988947610139846,0.1033341817855835
7297,1559,7,8,1.14,0.88,True,False,True,True,5.180476539134979,5.764437968730927,9.688334059298732,0.9944306981563568,1.5571886897087095,0.1036095307826995,0.1152887593746185
4242,1224,7,32,0.11,0.88,False,True,False,False,4.9906496858596805,5.512424149513245,10.050935841931112,0.679915144443512,0.9820153665542602,0.0998129937171936,0.1102484829902648
4083,1841,1,8,1.57,0.91,True,True,True,True,5.749934978485108,5.781689565181733,8.696038997681773,1.412617597579956,1.5835636949539185,0.1149986995697021,0.1156337913036346
8113,600,2,16,1.25,0.94,False,True,False,True,4.733105309009552,5.137369914054871,10.587091968915392,0.6244784307479858,0.9721557927131652,0.0946621061801909,0.1027473982810974
6183,338,3,8,0.31,0.96,True,False,True,False,5.215224055051803,5.860840349197388,9.615925919050175,1.1235783743858336,1.6466125893592831,0.1044206758028421,0.1172168069839477
6606,1565,8,32,0.07,0.93,False,True,True,True,4.810738055706024,5.183819761276245,10.411467903405432,0.7122121453285217,1.036429183483124,0.0962147611141205,0.1036763952255249
6077,1594,8,16,1.17,0.92,True,False,True,True,5.165221989154816,5.393997693061829,9.689337608133544,0.9705016350746156,1.2473269081115723,0.1033044397830962,0.1078799538612365
8186,1333,1,32,1.38,0.9,True,True,True,False,4.952590050697327,4.986642351150513,10.096081063687407,0.8224489402770996,0.9684392738342286,0.0990518010139465,0.0997328470230102
4409,1576,1,16,0.0,0.95,False,True,False,False,4.510717746019363,5.123673489093781,11.188885079991316,0.5850768220424652,0.9626925444602966,0.0902143549203873,0.1024734697818756
8172,1547,5,8,1.42,0.98,False,False,True,False,5.105171487331391,5.229825825691223,9.795500477103356,0.9922232723236084,1.2452665638923646,0.1021034297466278,0.1045965165138244
7265,799,5,8,1.56,0.92,False,True,False,True,4.95481816649437,5.4896343183517455,10.147736782429334,0.7587015151977539,1.2212695598602294,0.0990963633298874,0.1097926863670349
8099,834,1,32,0.58,0.93,True,False,True,True,4.974402145147324,5.13604339838028,10.05884671002432,0.8388854205608368,1.0350380086898805,0.0994880429029464,0.1027208679676056
8103,255,2,32,0.28,0.86,True,True,False,False,4.88091471195221,4.918476033210754,10.244404701799876,0.8261342382431031,1.0060441160202027,0.0976182942390441,0.098369520664215
6608,1443,3,16,0.25,1.0,True,False,True,False,4.880456656217575,5.056847381591797,10.250865340471032,0.8662140357494355,1.0373303914070129,0.0976091331243515,0.1011369476318359
7145,1288,4,8,0.76,0.89,True,False,True,False,5.1294804799556735,5.587762308120728,9.770041351183082,1.0752484035491945,1.5520695543289185,0.1025896095991134,0.1117552461624145
6937,239,3,32,0.41,0.98,True,False,False,False,42.54760082209552,114.88035449028015,2.9538599777903527,8.213151838161327,55.73297939777374,0.85095201644191,2.297607089805603
7932,1551,1,8,0.92,0.94,False,True,True,False,29.59239941730834,115.40506191253662,5.42302517261415,6.826271291364703,55.67999609231949,0.5918479883461668,2.3081012382507327
4224,943,3,16,1.93,0.99,True,True,False,True,9.207707901000976,16.03066543340683,7.349612542629916,0.8242594861984253,1.010362102985382,0.1841541580200195,0.3206133086681366
6052,1888,8,8,1.34,1.0,False,False,True,True,39.5513044232029,115.03602083206177,3.069588738175016,9.808224595199198,55.38458750963211,0.7932325219260409,2.3007204166412354
5677,347,3,16,1.19,0.92,True,False,False,True,24.986976544062298,79.60950516223916,5.076637399983623,2.711500400588626,29.79786602973956,0.4997395308812458,1.5921901032447832
4512,646,8,32,0.87,0.87,True,False,False,True,31.57495889257877,115.51901302099226,6.292289202252055,15.157156675419907,59.956134023665975,0.6314991778515755,2.3103802604198456
6024,1364,3,16,1.74,0.95,True,False,False,False,27.0543431095455,68.50798956394196,5.252637749184365,1.7479767654253089,9.420831294059754,0.5410868621909101,1.370159791278839
7737,752,5,16,0.65,0.86,False,True,False,False,43.17673728849504,115.43372206687928,3.148410197381211,6.102555293303269,55.855036277771,0.8635347457699011,2.308674441337585
4801,887,8,16,0.21,0.86,True,False,False,True,28.80617968456165,60.124259448051454,4.663984988046507,1.8495434125264485,11.568528127670287,0.576123593691233,1.202485188961029
5968,953,3,16,0.14,0.96,False,True,False,False,21.09747826099396,59.935707137584686,7.561545107234487,1.5135042548179627,44.37469427108765,0.4219495652198792,1.1987141427516936
6962,1574,6,8,1.31,0.93,False,False,True,False,20.31176217525236,115.68629257917404,4.2783284202295055,5.680832759026559,55.89509370803833,0.4062352435050472,2.313725851583481
7365,545,3,8,1.41,0.96,True,False,True,True,5.275947442054749,5.651633265018464,9.490749043821785,1.102744357585907,1.5580940985679623,0.1055189488410949,0.1130326653003692
6908,1328,7,32,0.11,0.94,False,False,True,False,5.029847031831741,5.0810243606567385,9.941452040186226,0.9621351432800292,1.0947271513938903,0.1005969406366348,0.1016204872131347
5454,471,8,8,1.42,0.91,True,True,False,True,5.674599733352661,5.719955878257752,8.811620194148018,1.3628431797027587,1.531958680152893,0.1134919946670532,0.114399117565155
6187,134,5,16,0.68,0.86,False,False,False,True,5.045147787332535,5.115992386341095,9.911991900255115,1.00545307636261,1.115809049606323,0.1009029557466507,0.1023198477268219
6008,206,2,16,0.37,1.0,False,False,True,False,4.967808282375335,5.0308495092391965,10.066064865315235,0.9312215387821198,1.0787144231796264,0.0993561656475067,0.1006169901847839
7658,259,1,32,1.57,0.86,False,True,False,True,4.827413783073426,5.101362295150757,10.36900202508123,0.7659465026855469,0.9713096475601196,0.0965482756614685,0.1020272459030151
6195,1800,3,16,1.76,0.92,True,False,False,False,21.0145461966644,55.47132092952728,6.033889590191095,4.823698088152325,15.832743577957151,0.4202909239332881,1.1094264185905456
6773,1234,7,16,0.23,0.98,False,True,True,False,28.83942765226731,60.01942364215851,6.271382803890119,4.101535389056573,55.86124674558639,0.5767885530453463,1.2003884728431702
4159,1098,3,16,0.31,0.96,True,False,True,False,41.98030222405632,115.22846665382386,3.9078979887173526,11.23636668877636,56.18146302223206,0.8396060444811265,2.304569333076477
6451,1368,7,32,0.25,0.9,True,True,True,True,5.072919521331787,5.123873717784882,9.824359719473833,0.9036975288391114,0.9803587436676026,0.1017942895798456,0.1037513853141239
4702,311,1,16,0.23,0.9,False,True,False,True,4.710821688175201,5.22685738325119,10.650915787877594,0.5681138122081757,1.0408854508399965,0.094216433763504,0.1045371476650238
6085,114,2,32,1.16,0.99,True,True,True,True,5.08163688659668,5.116909959316254,9.839774009700715,0.8139172744750977,0.9925815629959106,0.1016327377319336,0.102338199186325
5825,341,7,8,1.8,0.91,True,False,False,True,4.99074499130249,5.72655130147934,10.097631932943736,0.9558213424682616,1.6143662309646607,0.0998148998260498,0.1145310260295868
6872,1346,4,32,1.71,0.88,True,True,True,False,4.909639477729797,4.941263871192932,10.184447984217622,0.8779841089248657,1.0562538766860965,0.0981927895545959,0.0988252774238586
5025,838,4,16,1.03,0.98,False,True,False,False,5.92830889152758,7.748422875404358,8.963477603985115,1.6530264435392437,3.180594754219055,0.1185661778305516,0.1549684575080871
7293,991,2,32,1.05,0.95,False,True,True,True,4.864834218025208,5.23990119934082,10.296215943004132,0.746185542345047,1.1101929354667663,0.0972966843605041,0.1047980239868164
6903,1065,8,32,1.76,0.99,True,False,True,False,4.99302950501442,5.121932368278503,10.017306206449335,0.9524270260334016,1.0881168341636658,0.0998605901002884,0.10243864736557
4488,1131,8,16,0.8,0.93,False,True,False,True,4.771934081315994,5.083797259330749,10.499420032006787,0.5944028401374817,0.912150526046753,0.0954386816263198,0.1016759451866149
7444,1699,5,16,1.84,1.0,True,False,True,False,4.945108489990234,5.063041441440582,10.1155795584089,0.9584264874458313,1.1024325966835022,0.0989021697998047,0.1012608288288116
7202,1659,3,32,0.65,0.93,True,True,True,False,5.019248628616333,5.06104828119278,9.962250925551055,0.8824664497375488,0.9907776403427124,0.1003849725723266,0.1012209656238555
5533,365,1,32,1.87,0.89,False,False,True,False,5.09692284822464,5.216048958301545,9.81440027371892,1.027710613012314,1.3559986996650697,0.1019384569644928,0.1043209791660308
4917,919,1,32,1.76,0.85,False,True,False,True,4.875928741693497,5.262745168209076,10.280310909929062,0.7530441212654114,1.1967326855659484,0.0975185748338699,0.1052549033641815
4303,1820,6,32,1.6,0.99,False,False,True,True,5.060689709186554,5.166267900466919,9.882617198899142,0.9764781522750856,1.2922416281700135,0.101213794183731,0.1033253580093383
6343,516,1,8,1.05,0.85,False,False,False,False,5.066200909614563,5.160910577774048,9.870441496916277,0.9652125990390776,1.1280521607398986,0.1013240181922912,0.1032182115554809
5617,1925,3,16,0.09,0.95,False,True,True,False,4.636132063865662,5.0048441052436825,10.804293493705854,0.5744120693206787,0.8557201719284058,0.0927226412773131,0.1000968821048736
7405,1152,4,32,0.44,0.98,True,False,False,True,5.031347303390503,5.098122596740723,9.939407060819464,0.9342058372497558,1.0690519309043884,0.10062694606781,0.1019624519348144
5119,356,1,32,0.84,0.93,False,False,True,True,4.676067569255829,5.158176755905151,10.736655844469023,0.9654443633556364,1.085279996395111,0.0935213513851165,0.103163535118103
5651,1388,2,16,1.39,0.96,True,False,False,True,4.986688457727432,5.068308897018433,10.02908726797106,0.8951840662956237,1.06350932598114,0.0997337691545486,0.1013661779403686
5437,1553,8,32,0.6,0.98,True,False,False,True,5.023757681846619,5.1140029335021975,9.956961048071353,0.9538994085788728,1.1080613613128665,0.1004751536369323,0.1022800586700439
4739,612,2,8,1.23,0.96,True,True,False,True,5.714585919380188,5.7603995227813725,8.749809767988143,1.4418200254440308,1.5913501691818237,0.1142917183876037,0.1152079904556274
6013,393,4,8,0.35,0.96,False,True,False,False,4.818643606901169,5.709529519081116,10.475804571640404,0.5629456567764283,1.4600446105003355,0.0963728721380233,0.1141905903816223
5600,431,5,8,1.33,0.85,True,False,True,True,5.206490910053253,5.67703732252121,9.62674031266192,1.0888896334171294,1.5346468377113345,0.1041298182010651,0.1135407464504241
6115,245,4,16,0.8,0.93,False,False,False,True,5.084523223638534,5.168236582279206,9.836194707836404,0.9457998287677764,1.1425844740867614,0.1016904644727705,0.1033647316455841
6383,617,4,32,0.67,0.95,True,True,False,True,5.017689299583435,5.0526917052268985,9.9651903524813,0.809370379447937,0.989101641178131,0.1003537859916687,0.1010538341045379
7532,966,4,8,0.91,0.87,True,False,False,False,5.163524466753006,5.590934100151062,9.70354611561635,1.0904152727127074,1.5595334577560425,0.1032704893350601,0.1118186820030212
7989,914,3,16,0.56,0.98,True,False,False,False,4.96278236746788,5.081133875846863,10.077846664248437,0.9627256512641906,1.1144030570983887,0.0992556473493576,0.1016226775169372
4880,296,6,8,0.44,0.93,True,True,True,True,5.6722033500671385,5.706827883720398,8.815221460082697,1.5238906717300416,1.5360391783714291,0.1134440670013427,0.1141365576744079
4144,1713,4,8,1.02,0.98,True,False,True,False,5.132423154115677,5.688827240467072,9.77622884548892,1.073871874809265,1.6304842138290403,0.1026484630823135,0.1137765448093414
4652,673,4,32,1.78,0.91,True,True,True,False,5.017059049606323,5.051410043239594,9.966434558446885,0.8376547908782959,0.9762548184394836,0.1003411809921264,0.1010282008647918
